"2024-11-21","2024-11-22","2024-11-25","2024-11-26","2024-11-28","2024-11-29","2024-12-02","2024-12-03","2024-12-04","2024-12-05","2024-12-06","2024-12-09","2024-12-10","2024-12-11","2024-12-12","2024-12-13","2024-12-16","2024-12-17","2024-12-18","2024-12-19","2024-12-20","2024-12-23","2024-12-24","2024-12-25","2024-12-26","2024-12-27","2024-12-30","2024-12-31","2025-01-02","2025-01-03","2025-01-06","2025-01-07","2025-01-08","2025-01-09","2025-01-12","2025-01-13","2025-01-14","2025-01-15","2025-01-16","2025-01-17","2025-01-20","2025-01-21","2025-01-22","2025-01-23","2025-01-27","2025-01-28","2025-01-29","2025-01-30","2025-01-31","2025-02-03","2025-02-04","2025-02-05","2025-02-06","2025-02-07","2025-02-10","2025-02-11","2025-02-12","2025-02-13","2025-02-14","2025-02-17","2025-02-18","2025-02-19","2025-02-20","2025-02-21","2025-02-24","2025-02-25","2025-02-27","2025-02-28"
"AAPL","AAPL","AAPL","AAPL","AAPL","AAPL","AAPL","AAPL","AAPL","AAPL","AAPL","AAPL","AAPL","AAPL","AAPL","AAPL","AAPL","AAPL","AAPL","AAPL","AAPL","AAPL","AAPL","AAPL","AAPL","AAPL","AAPL","AAPL","AAPL","AAPL","AAPL","AAPL","AAPL","AAPL","AAPL","AAPL","AAPL","AAPL","AAPL","AAPL","AAPL","AAPL","AAPL","AAPL","AAPL","AAPL","AAPL","AAPL","AAPL","AAPL","AAPL","AAPL","AAPL","AAPL","AAPL","AAPL","AAPL","AAPL","AAPL","AAPL","AAPL","AAPL","AAPL","AAPL","AAPL","AAPL","AAPL","AAPL"
"ABNB","ABNB","ABNB","ABNB","ABNB","ABNB","ABNB","ABNB","ABNB","ABNB","ABNB","ABNB","ABNB","ABNB","ABNB","ABNB","ABNB","ABNB","ABNB","ABNB","ABNB","ABNB","ABNB","ABNB","AMAT","AMAT","AMAT","AMAT","AMAT","AMAT","AMAT","AMAT","AMAT","AMAT","ABNB","AMAT","AMAT","AMAT","AMAT","AMAT","ABNB","AMAT","AMAT","AMAT","AMAT","AMAT","AMAT","AMAT","AMAT","AMAT","AMAT","AMAT","AMAT","AMAT","AMAT","AMAT","AMAT","AMAT","AMAT","ABNB","AMAT","AMAT","AMAT","AMAT","AMAT","AMAT","AMAT","AMAT"
"ADBE","ADBE","ADBE","ADBE","ADBE","ADBE","ADBE","ADBE","ADBE","ADBE","ADBE","ADBE","ADBE","ADBE","ADBE","ADBE","ADBE","ADBE","ADBE","ADBE","ADBE","ADBE","ADBE","ADBE","AMGN","AMGN","AMGN","AMGN","AMGN","AMGN","AMGN","AMGN","AMGN","AMGN","ADBE","AMGN","AMGN","AMGN","AMGN","AMGN","ADBE","AMGN","AMGN","AMGN","AMGN","AMGN","AMGN","AMGN","AMGN","AMGN","AMGN","AMGN","AMGN","AMGN","AMGN","AMGN","AMGN","AMGN","AMGN","ADBE","AMGN","AMGN","AMGN","AMGN","AMGN","AMGN","AMGN","AMGN"
"ADI","ADI","ADI","ADI","ADI","ADI","ADI","ADI","ADI","ADI","ADI","ADI","ADI","ADI","ADI","ADI","ADI","ADI","ADI","ADI","ADI","ADI","ADI","ADI","CMCSA","CMCSA","CMCSA","CMCSA","CMCSA","CMCSA","CMCSA","CMCSA","CMCSA","CMCSA","ADI","CMCSA","CMCSA","CMCSA","CMCSA","CMCSA","ADI","CMCSA","CMCSA","CMCSA","CMCSA","CMCSA","CMCSA","CMCSA","CMCSA","CMCSA","CMCSA","CMCSA","CMCSA","CMCSA","CMCSA","CMCSA","CMCSA","CMCSA","CMCSA","ADI","CMCSA","CMCSA","CMCSA","CMCSA","CMCSA","CMCSA","CMCSA","CMCSA"
"ADP","ADP","ADP","ADP","ADP","ADP","ADP","ADP","ADP","ADP","ADP","ADP","ADP","ADP","ADP","ADP","ADP","ADP","ADP","ADP","ADP","ADP","ADP","ADP","INTC","INTC","INTC","INTC","INTC","INTC","INTC","INTC","INTC","INTC","ADP","INTC","INTC","INTC","INTC","INTC","ADP","INTC","INTC","INTC","INTC","INTC","INTC","INTC","INTC","INTC","INTC","INTC","INTC","INTC","INTC","INTC","INTC","INTC","INTC","ADP","INTC","INTC","INTC","INTC","INTC","INTC","INTC","INTC"
"ADSK","ADSK","ADSK","ADSK","ADSK","ADSK","ADSK","ADSK","ADSK","ADSK","ADSK","ADSK","ADSK","ADSK","ADSK","ADSK","ADSK","ADSK","ADSK","ADSK","ADSK","ADSK","ADSK","ADSK","KLAC","KLAC","KLAC","KLAC","KLAC","KLAC","KLAC","KLAC","KLAC","KLAC","ADSK","KLAC","KLAC","KLAC","KLAC","KLAC","ADSK","KLAC","KLAC","KLAC","KLAC","KLAC","KLAC","KLAC","KLAC","KLAC","KLAC","KLAC","KLAC","KLAC","KLAC","KLAC","KLAC","KLAC","KLAC","ADSK","KLAC","KLAC","KLAC","KLAC","KLAC","KLAC","KLAC","KLAC"
"AEP","AEP","AEP","AEP","AEP","AEP","AEP","AEP","AEP","AEP","AEP","AEP","AEP","AEP","AEP","AEP","AEP","AEP","AEP","AEP","AEP","AEP","AEP","AEP","PCAR","PCAR","PCAR","PCAR","PCAR","PCAR","PCAR","PCAR","PCAR","PCAR","AEP","PCAR","PCAR","PCAR","PCAR","PCAR","AEP","PCAR","PCAR","PCAR","PCAR","PCAR","PCAR","PCAR","PCAR","PCAR","PCAR","PCAR","PCAR","PCAR","PCAR","PCAR","PCAR","PCAR","PCAR","AEP","PCAR","PCAR","PCAR","PCAR","PCAR","PCAR","PCAR","PCAR"
"AMAT","AMAT","AMAT","AMAT","AMAT","AMAT","AMAT","AMAT","AMAT","AMAT","AMAT","AMAT","AMAT","AMAT","AMAT","AMAT","AMAT","AMAT","AMAT","AMAT","AMAT","AMAT","AMAT","AMAT","CTAS","CTAS","CTAS","CTAS","CTAS","CTAS","CTAS","CTAS","CTAS","CTAS","AMAT","CTAS","CTAS","CTAS","CTAS","CTAS","AMAT","CTAS","CTAS","CTAS","CTAS","CTAS","CTAS","CTAS","CTAS","CTAS","CTAS","CTAS","CTAS","CTAS","CTAS","CTAS","CTAS","CTAS","CTAS","AMAT","CTAS","CTAS","CTAS","CTAS","CTAS","CTAS","CTAS","CTAS"
"AMD","AMD","AMD","AMD","AMD","AMD","AMD","AMD","AMD","AMD","AMD","AMD","AMD","AMD","AMD","AMD","AMD","AMD","AMD","AMD","AMD","AMD","AMD","AMD","PAYX","PAYX","PAYX","PAYX","PAYX","PAYX","PAYX","PAYX","PAYX","PAYX","AMD","PAYX","PAYX","PAYX","PAYX","PAYX","AMD","PAYX","PAYX","PAYX","PAYX","PAYX","PAYX","PAYX","PAYX","PAYX","PAYX","PAYX","PAYX","PAYX","PAYX","PAYX","PAYX","PAYX","PAYX","AMD","PAYX","PAYX","PAYX","PAYX","PAYX","PAYX","PAYX","PAYX"
"AMGN","AMGN","AMGN","AMGN","AMGN","AMGN","AMGN","AMGN","AMGN","AMGN","AMGN","AMGN","AMGN","AMGN","AMGN","AMGN","AMGN","AMGN","AMGN","AMGN","AMGN","AMGN","AMGN","AMGN","LRCX","LRCX","LRCX","LRCX","LRCX","LRCX","LRCX","LRCX","LRCX","LRCX","AMGN","LRCX","LRCX","LRCX","LRCX","LRCX","AMGN","LRCX","LRCX","LRCX","LRCX","LRCX","LRCX","LRCX","LRCX","LRCX","LRCX","LRCX","LRCX","LRCX","LRCX","LRCX","LRCX","LRCX","LRCX","AMGN","LRCX","LRCX","LRCX","LRCX","LRCX","LRCX","LRCX","LRCX"
