Symbol,Name,Market Cap,Last Sale,Net Change,Percentage Change
AAPL,Apple Inc. Common Stock,"3,679,569,213,775",243.42,$0.77,+0.32%
ABNB,"Airbnb, Inc. Class A Common Stock","86,505,430,278",136.81,$0.65,-0.47%
ADBE,Adobe Inc. Common Stock,"236,360,988,000",535.695,$19.435,+3.76%
ADI,"Analog Devices, Inc. Common Stock","108,723,751,806",219.13,$2.41,-1.09%
ADP,"Automatic Data Processing, Inc. Common Stock","123,397,792,774",302.805,$0.765,-0.25%
ADSK,"Autodesk, Inc. Common Stock","65,059,967,500",302.55,$3.59,+1.20%
AEP,"American Electric Power Company, Inc. Common Stock","51,680,140,108",96.96,$0.06,-0.06%
AMAT,"Applied Materials, Inc. Common Stock","149,996,201,791",181.665,$1.495,-0.82%
AMD,"Advanced Micro Devices, Inc. Common Stock","229,886,888,634",141.72,$0.26,-0.18%
AMGN,Amgen Inc. Common Stock,"148,434,286,129",276.005,$2.315,-0.83%
AMZN,"Amazon.com, Inc. Common Stock","2,299,422,607,229",218.68,$5.24,+2.46%
ANSS,"ANSYS, Inc. Common Stock","30,676,132,114",352.23,$1.18,+0.34%
APP,Applovin Corporation Class A Common Stock,"126,719,465,190",380.51,$13.96,+3.81%
ARM,Arm Holdings plc American Depositary Shares,"148,767,261,071",143.055,$2.675,+1.91%
ASML,ASML Holding N.V. New York Registry Shares,"283,031,520,305",719.49,$1.43,+0.20%
AVGO,Broadcom Inc. Common Stock,"800,069,683,018",171.465,$3.315,+1.97%
AZN,AstraZeneca PLC American Depositary Shares,"205,739,604,063",66.34,$1.71,-2.51%
BIIB,Biogen Inc. Common Stock,"23,261,906,841",159.815,$1.035,-0.64%
BKNG,Booking Holdings Inc. Common Stock,"172,232,977,682",5188.84,$25.54,-0.49%
BKR,Baker Hughes Company Class A Common Stock,"43,044,372,692",43.11,$0.56,-1.28%
CCEP,Coca-Cola Europacific Partners plc Ordinary Shares,"35,952,823,452",78.16,$0.11,+0.14%
CDNS,"Cadence Design Systems, Inc. Common Stock","87,341,794,980",319.17,$5.92,+1.89%
CDW,CDW Corporation Common Stock,"23,924,897,051",178.9,$0.73,-0.41%
